Date,To,For, Amount  ,Totals,Comments,
7/19/2022,ADT 24/7 Security System ,Installation of system, $ 99.00 ,,,
7/20/2022,"Catania, Mahon & Rider",Outstanding Bill for Eviction, $ 700.00 ,,,
7/29/2022,Carpet Mill Outlet,"Installation of New Mats and Carpets for 3 Bedrooms (14X14, 11X12, 11X12)"," $ 1,198.70 ",,,
8/5/2022,Amazon Wyze Security Cameras,Survillence stick up cameras for launry room and basement, $ 76.90 ,,,
8/10/2022,Felix of Manufactured Construction,"Painting the Apt 1, Carpet removal, "," $ 2,330.00 ",,,
8/16/2022,NYSEG,August Electricity Bill, $ 27.03 ,,,
8/22/2022,"Catania, Mahon & Rider",August outstanding bill, $ 700.00 ,,,
8/23/2022,George of R.E. Michel Heating Co.,Deposit for Supplies for Heating System Installation," $ 2,500.00 ",,,
9/7/2022,Wilson Oil & Propane,September Oil Drop, $ 445.77 ,,,
9/14/2022,village of walden ,Property taxes ," $ 6,850.33 ",,,
9/20/2022,NYSEG,september electricity, $ 26.94 ,,,
9/22/2022,"Catania, Mahon & Rider",september outstanding eviction bill, $ 700.00 ,,,
10/5/2022,Village of Walden Water & Sewer,quarterly Water and Sewer utility bill includes online service fee, $ 736.23 ,,,
10/6/2022,Rapport Keys,Copies of Keys to units for Maintenace Super, $ 6.57 ,,,
10/19/2022,NYSEG,october energy bill , $ 26.39 ,,,
10/19/2022,RentPrep,Background Checks on New tenant 1 fee, $ 2.00 ,,,
10/21/2022,Felix of Manufactured Construction,"Plunching toilet of Tenant 2 on Monday October 3, 2022", $ 180.00 ,,,
10/21/2022,Jorge of On time Heating,Balance for installation of furnace ductwork wiring hydronic heating system bled radiators etc.," $ 5,100.00 ",,,
10/24/2022,Kimlin Energy Services,Annual Lease Rent , $ 21.63 ,,,
10/24/2022,Kimlin Energy Services,Installation of 120 Gallon Tank, $ 831.74 ,,,
10/24/2022,Kimlin Energy Services,Propane Gas, $ 40.83 ,,,
10/28/2022,Staples,Cost of Lease Copies, $ 5.72 ,,,
11/1/2022,MLS  EXP Realty Listing,Brokergae Check," $ 1,650.00 ",,,
11/6/2022,"Catania, Mahon & Rider",Outstanding Eviction Bill, $ 700.00 ,,,
11/14/2022,Wilson Oil & Propane,November Oil Drop, $ 578.94 ,,,
11/23/2022,Kimlin Energy Services,Propane Fill, $ 400.00 ,,,
11/28/2022,Wilson Oil & Propane,December 2022 Oil Drop, $ 442.98 ,,,
12/5/2022,NYSEG,Energy Bill, $ 54.39 ,,,
,,,," $ 52,954.51 ",,
